,Start,End
0,2023-02-27 12:05:38.335446,2023-02-27 12:05:38.530940
1,2023-02-27 12:05:38.623803,2023-02-27 12:05:38.834722
2,2023-02-27 12:05:39.422769,2023-02-27 12:05:40.122136
3,2023-02-27 12:05:40.427469,2023-02-27 12:05:44.233252
4,2023-02-27 12:05:44.425791,2023-02-27 12:05:45.838752
5,2023-02-27 12:05:46.635715,2023-02-27 12:05:48.843855
6,2023-02-27 12:05:50.236552,2023-02-27 12:05:50.445551
7,2023-02-27 12:05:50.537833,2023-02-27 12:05:52.044238
8,2023-02-27 12:05:53.149479,2023-02-27 12:05:55.149236
9,2023-02-27 12:05:56.957967,2023-02-27 12:05:57.148101
10,2023-02-27 12:05:57.358574,2023-02-27 12:06:03.661236
11,2023-02-27 12:06:03.870925,2023-02-27 12:06:05.259284
12,2023-02-27 12:06:05.661575,2023-02-27 12:06:06.159154
13,2023-02-27 12:06:06.271075,2023-02-27 12:06:06.460945
